GeneA,GeneB
AATF,BAX
AATF,CDKN1A
AATF,KLK3
AATF,MYC
AATF,TP53
AES,EPHA3
AES,LEF1
AES,RND3
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
APBB1,GMPS
AR,ACTA1
AR,AKR1C3
AR,AKT1
AR,AKT1
AR,ALDH1A3
AR,ARG1
AR,ARG2
AR,ATAD2
AR,BSG
AR,BTG1
AR,BTG2
AR,CDK20
AR,CDC6
AR,CDC6
AR,CDH1
AR,CDH11
AR,CDH2
AR,CDK20
AR,CDK6
AR,CDKN1A
AR,CDKN1A
AR,CLK3
AR,CRH
AR,CRISP3
AR,CTNNB1
AR,CYP7B1
AR,EGFR
AR,ELK4
AR,EP300
AR,ERBB2
AR,ERBB2
AR,ERBB3
AR,ETV1
AR,FKBP4
AR,FN1
AR,FOLH1
AR,FOXA1
AR,GNMT
AR,GREB1
AR,GTF2F1
AR,HMMR
AR,HMOX1
AR,IFI16
AR,IGF1R
AR,IGFBP3
AR,JUN
AR,KISS1
AR,KISS1R
AR,KLF5
AR,KLK1
AR,KLK2
AR,KLK3
AR,KLK3
AR,KLK3
AR,KLK4
AR,MED1
AR,MID1
AR,MUC1
AR,MYC
AR,NAT1
AR,NDRG1
AR,NFKB1
AR,NKX3-1
AR,NKX3-1
AR,NOV
AR,NRAS
AR,PC
AR,PSCA
AR,PEBP1
AR,PIGR
AR,PIP
AR,PMEPA1
AR,PNRC1
AR,KLK3
AR,PTEN
AR,PTEN
AR,PTGS2
AR,PTPN1
AR,RELA
AR,REST
AR,SEPT7
AR,SERPINB5
AR,SESN1
AR,SRD5A3
AR,STIM1
AR,TBP
AR,TCF7L2
AR,TGFA
AR,TH
AR,TJP1
AR,TMPRSS2
AR,TMPRSS2
AR,TRPS1
AR,TSC1
AR,TSC2
AR,UCN
AR,UGT2B15
AR,USP26
AR,VEGFA
AR,VEGFA
AR,VIM
AR,WEE1
AR,WNT7B
AR,XIAP
ARID3A,CDC6
ARID3A,CDK1
ARID3A,CR2
ARID3A,E2F1
ARID3A,PML
ARID3A,RBL1
ARNT,AHR
ARNT,BHLHE40
ARNT,BRCA1
ARNT,CA9
ARNT,CCNE1
ARNT,CDK2
ARNT,CTSD
ARNT,CYP1A1
ARNT,CYP1A1
ARNT,CYP1B1
ARNT,CYP1B1
ARNT,EGLN2
ARNT,EPO
ARNT,ESR1
ARNT,FOS
ARNT,GAD1
ARNT,HIF1A
ARNT,JUN
ARNT,MFSD2A
ARNT,RELB
ARNT,VEGFA
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ASCL1,CHRNA3
ASCL1,CHRNA5
ASCL1,CHRNB4
ASCL1,DKK1
ASCL1,IGF2
ASCL1,PCSK6
ASCL1,TPH1
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF4,APOE
ATF4,ASNS
ATF4,ASNS
ATF4,ATF3
ATF4,ATF3
ATF4,ATG5
ATF4,BGLAP
ATF4,CA9
ATF4,CCL2
ATF4,CEBPB
ATF4,CHAC1
ATF4,CXCL8
ATF4,DDIT3
ATF4,DDIT3
ATF4,DDIT4
ATF4,DDR2
ATF4,DISC1
ATF4,F7
ATF4,FGF19
ATF4,FGF21
ATF4,HRK
ATF4,HSPA5
ATF4,IGFBP1
ATF4,IL6
ATF4,IRF7
ATF4,MAP1LC3B
ATF4,MCL1
ATF4,NDC80
ATF4,NUPR1
ATF4,PLAU
ATF4,PTGS2
ATF4,S100P
ATF4,SIGMAR1
ATF4,SIRT1
ATF4,SIRT1
ATF4,SIRT2
ATF4,TNFRSF10B
ATF4,TRIB3
ATF4,TRIB3
ATF4,VEGFA
ATF4,VEGFA
ATRX,HBA1
ATRX,HBA2
BACH2,BCL2
BACH2,IL2
BACH2,XBP1
BPTF,HOXC8
BRD7,BRD2
BRD7,BRD3
BRD7,E2F3
BRD7,E2F3
BRPF1,ING5
BRPF1,MEAF6
CBX7,CCNE1
CBX7,CDH1
CBX8,CDKN1A
CEBPG,HBB
CEBPG,SFTPD
CEBPZ,APC
CEBPZ,COL11A1
CEBPZ,COL1A2
CEBPZ,GZMB
CEBPZ,MLH1
CEBPZ,SOX9
CHD8,BRCA1
CHD8,CCNE2
CHD8,HOXA2
CHD8,MYC
CHD8,TYMS
CITED2,MMP1
CITED2,MMP13
CLOCK,BHLHE40
CLOCK,BHLHE41
CLOCK,CRY1
CLOCK,CRY1
CLOCK,CRY2
CLOCK,CRY2
CLOCK,DEC1
CLOCK,KAT5
CLOCK,NAMPT
CLOCK,NR0B2
CLOCK,NR3C1
CLOCK,PER1
CLOCK,PER1
CLOCK,PER2
CLOCK,PER2
CLOCK,PER3
CLOCK,STAR
CLOCK,TPO
CNOT7,MSMB
CNOT7,PMP22
COPS5,CDKN1B
COPS5,VEGFA
CREB3,CXCR4
CREB3L1,SLC1A4
CREBBP,ALOX15
CREBBP,BRCA1
CREBBP,CCK
CREBBP,CDKN1A
CREBBP,CREB1
CREBBP,EGFR
CREBBP,EP300
CREBBP,EZH2
CREBBP,HINFP
CREBBP,HOXA10
CREBBP,HOXA9
CREBBP,IL4
CREBBP,INSM1
CREBBP,IRF1
CREBBP,PCK2
CREBBP,PPARA
CREBBP,PSMC5
CREBBP,PTGS2
CREBBP,RAD51
CREBBP,RARA
CREBBP,RS1
CREBBP,S100A4
CREBBP,TP53
CREBBP,TRIM22
CRTC1,PPARGC1A
CTBP1,BRCA1
CTBP1,BRCA2
CTBP1,CLDN7
CTBP1,KRT18
CTCF,ANG
CTCF,APP
CTCF,APP
CTCF,ASAP2
CTCF,ATXN7
CTCF,BBC3
CTCF,BCL6
CTCF,BRCA1
CTCF,CCND1
CTCF,CELSR3
CTCF,DMPK
CTCF,ETNK2
CTCF,H19
CTCF,PBXIP1
CTCF,IGF2
CTCF,IPO13
CTCF,IRAK2
CTCF,MEG3
CTCF,MYC
CTCF,MYC
CTCF,MYC
CTCF,NANOG
CTCF,NF1
CTCF,PAX6
CTCF,PAX6
CTCF,PAX6
CTCF,PBXIP1
CTCF,PTPRG
CTCF,RAD21
CTCF,RARRES1
CTCF,RBL2
CTCF,SIX5
CTCF,SLC6A4
CTCF,TERT
CTCF,WT1
CTNNB1,AR
CTNNB1,BIRC5
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CCND1
CTNNB1,CD44
CTNNB1,CHGA
CTNNB1,CLDN2
CTNNB1,FST
CTNNB1,GLCE
CTNNB1,GLI2
CTNNB1,JUN
CTNNB1,JUN
