GeneA,GeneB
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
APBB1,GMPS
APC,AKT1
APC,AMHR2
APC,BIRC5
APC,DLG1
APC,DNMT1
APC,F8
APC,KLF4
APC,MYC
APC,NOS2
APC,ODC1
APC,PTGS2
APC,PTGS2
APC,SGK1
ARID1A,CDKN1A
ARID1A,SMAD3
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
ATF5,BCL2
ATF5,CCND3
ATF5,CREB1
ATF5,CYP2B6
ATF5,DISC1
ATF5,EGR1
ATF5,ID1
ATF5,SH2D1A
ATF7,ERBB2
ATF7,TAF12
ATRX,HBA1
ATRX,HBA2
BARX2,ESR1
BDP1,MYC
BDP1,RB1
BDP1,TP53
BMI1,TERT
BPTF,HOXC8
BRCA1,AREG
BRCA1,ASPM
BRCA1,ATM
BRCA1,BACH1
BRCA1,BRCA2
BRCA1,CASR
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CDH3
BRCA1,CDH3
BRCA1,CDKN1A
BRCA1,CDKN1A
BRCA1,CDKN1B
BRCA1,CDKN1B
BRCA1,CTSD
BRCA1,CXCL1
BRCA1,CYP19A1
BRCA1,CYP19A1
BRCA1,CYP1A1
BRCA1,CYP1B1
BRCA1,DDB2
BRCA1,DDIT3
BRCA1,E2F6
BRCA1,EGFR
BRCA1,EGR1
BRCA1,EP300
BRCA1,EP300
BRCA1,ESR1
BRCA1,FOS
BRCA1,FOXC1
BRCA1,FOXC2
BRCA1,FST
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,HIF1A
BRCA1,HMGA2
BRCA1,HNRNPA2B1
BRCA1,HSPA5
BRCA1,IFNA1
BRCA1,IGF1
BRCA1,IGF1R
BRCA1,IRF7
BRCA1,IRF9
BRCA1,JAK1
BRCA1,JAK2
BRCA1,KHSRP
BRCA1,KRT17
BRCA1,KRT18
BRCA1,KRT5
BRCA1,MAD2L1
BRCA1,MDC1
BRCA1,MDM2
BRCA1,MYC
BRCA1,RNASEL
BRCA1,S100A2
BRCA1,SIRT1
BRCA1,STAT1
BRCA1,STAT2
BRCA1,STAT3
BRCA1,TFF1
BRCA1,TP63
BRCA1,VEGFA
BRCA1,XPC
BRD7,BRD2
BRD7,BRD3
BRD7,E2F3
BRD7,E2F3
BRPF1,ING5
BRPF1,MEAF6
BTF3,ABL2
BTF3,ATM
BTF3,EPHB2
BTF3,HPSE2
BTF3,MADCAM1
BTF3,MRVI1
BTF3,NFKB1
BTF3,RRAS2
BTF3,SSPN
BTG2,CCND1
BTG2,HRAS
BTG2,KLK3
BTG2,SPHK1
CBX7,CCNE1
CBX7,CDH1
CBX8,CDKN1A
CDC5L,PLRG1
CEBPA,AFP
CEBPA,ALB
CEBPA,BCL2
CEBPA,CCL2
CEBPA,CD163
CEBPA,CRMP1
CEBPA,CSF1
CEBPA,CSF2RA
CEBPA,CSF3R
CEBPA,CXCR2
CEBPA,CYP3A4
CEBPA,DEFA3
CEBPA,ELANE
CEBPA,ELANE
CEBPA,F9
CEBPA,FN1
CEBPA,GAPDH
CEBPA,HAMP
CEBPA,HK3
CEBPA,HOMER3
CEBPA,HSD17B11
CEBPA,HSPA4
CEBPA,ICAM1
CEBPA,ID1
CEBPA,IGF1
CEBPA,IGF2
CEBPA,IL10
CEBPA,IL3
CEBPA,IL5
CEBPA,IL6
CEBPA,INSR
CEBPA,ITGAX
CEBPA,LEP
CEBPA,MAD1L1
CEBPA,MSR1
CEBPA,MYC
CEBPA,PCK1
CEBPA,PCK2
CEBPA,PRL
CEBPA,S100A9
CEBPA,SAA1
CEBPA,SERPINC1
CEBPA,SFTPD
CEBPA,SLC10A1
CEBPA,SOCS3
CEBPA,SPI1
CEBPA,SPP1
CEBPA,STAR
CEBPA,STAT3
CEBPA,TLR9
CEBPA,VLDLR
CEBPG,HBB
CEBPG,SFTPD
CEBPZ,APC
CEBPZ,COL11A1
CEBPZ,COL1A2
CEBPZ,GZMB
CEBPZ,MLH1
CEBPZ,SOX9
CHD4,CD79A
CHD4,RNF8
CIITA,COL1A1
CIITA,COL1A2
CIITA,COL1A2
CIITA,CREBBP
CIITA,FASLG
CIITA,HLA-A
CIITA,HLA-B
CIITA,HLA-C
CIITA,HLA-DMA
CIITA,HLA-DMA
CIITA,HLA-DMB
CIITA,HLA-DMB
CIITA,HLA-DOA
CIITA,HLA-DOB
CIITA,HLA-DPB1
CIITA,HLA-DQB1
CIITA,HLA-DRA
CIITA,HLA-DRA
CIITA,HLA-DRB1
CIITA,HLA-DRB5
CIITA,HLA-F
CIITA,HLA-G
CIITA,IL4
CIITA,IL4
CIITA,IRF1
CIITA,IRF2
CIITA,MMP9
CIITA,PLXNA1
CIITA,PSMC5
CIITA,RAB4B
CIITA,S100A4
CIITA,SIRT1
CIITA,SLC26A3
CIITA,STAT1
CITED2,MMP1
CITED2,MMP13
CLOCK,BHLHE40
CLOCK,BHLHE41
CLOCK,CRY1
CLOCK,CRY1
CLOCK,CRY2
CLOCK,CRY2
CLOCK,DEC1
CLOCK,KAT5
CLOCK,NAMPT
CLOCK,NR0B2
CLOCK,NR3C1
CLOCK,PER1
CLOCK,PER1
CLOCK,PER2
CLOCK,PER2
CLOCK,PER3
CLOCK,STAR
CLOCK,TPO
CNBP,MYC
CNOT7,MSMB
CNOT7,PMP22
COPS5,CDKN1B
COPS5,VEGFA
CREB1,ACACA
CREB1,ADRA1A
CREB1,AQP3
CREB1,AR
CREB1,BCL2
CREB1,BCL2
CREB1,BCL2L11
CREB1,BDKRB1
CREB1,BDKRB2
CREB1,BDNF
CREB1,CASP8
CREB1,CCK
CREB1,CCL5
CREB1,CD4
CREB1,CGA
CREB1,CRTC1
CREB1,CXCR4
CREB1,CYP11A1
CREB1,CYP11B1
CREB1,CYP11B2
CREB1,CYP17A1
CREB1,CYP19A1
CREB1,ERBB2
CREB1,ETV3
CREB1,FLT1
CREB1,FOS
CREB1,FOXA1
CREB1,GABPA
CREB1,GRPR
CREB1,GSK3A
CREB1,GSK3B
CREB1,HLA-DOB
CREB1,HLA-DQB1
CREB1,HMOX1
CREB1,HPGD
CREB1,IFNG
CREB1,IFNG
CREB1,IFNG
CREB1,IL10
CREB1,IL10
CREB1,IL2
CREB1,IL5RA
CREB1,IL6
CREB1,JUN
CREB1,JUN
CREB1,LAPTM4B
CREB1,LYL1
CREB1,MC2R
CREB1,MITF
CREB1,MMP2
CREB1,MSMB
CREB1,MUC4
CREB1,MUC4
CREB1,MUC5AC
CREB1,NDC80
CREB1,NF1
CREB1,NMNAT2
CREB1,NOLC1
CREB1,NPY
CREB1,NR2F1
CREB1,NR2F6
CREB1,NR4A3
CREB1,NR5A2
CREB1,NRF1
CREB1,NTS
CREB1,ODC1
CREB1,PCSK1
CREB1,PLAT
CREB1,PLAU
CREB1,POLD2
CREB1,PPM1D
CREB1,PPP2CA
CREB1,PPP2R2B
CREB1,PRL
CREB1,PSEN1
CREB1,PTGES
CREB1,PTGS2
CREB1,RP1
CREB1,RRM2B
CREB1,SLC19A1
CREB1,SLC20A1
CREB1,SLC22A8
CREB1,SLC39A1
CREB1,SMAD6
CREB1,SNAI1
CREB1,SNAI2
CREB1,SOX9
CREB1,SPRY2
CREB1,STMN1
CREB1,TH
CREB1,TLR9
CREB1,TRH
CREB1,UXT
CREB1,VIP
CREB1,XPC
CREB3L4,DNAJC12
CREG1,HSPA4
CREM,ACE
CREM,ACR
CREM,FHL5
CREM,CCL4
CREM,CCNA1
CREM,CCNA2
CREM,CD247
CREM,CREB1
CREM,DUSP1
CREM,DUSP4
CREM,FASLG
CREM,FOS
CREM,G6PD
CREM,GPX4
CREM,IL2
CREM,IL2
CREM,IL5RA
CREM,LDHC
CREM,MC2R
