GeneA,GeneB
ABL1,BAX
ABL1,BCL2
ABL1,BCL6
ABL1,CCND2
ABL1,CDKN1A
ABL1,CSF1
ABL1,CSF1
ABL1,FOXO3
ABL1,JUN
ABL1,JUN
ABL1,PIM1
ABL1,TP53
AES,EPHA3
AES,LEF1
AES,RND3
ARNT,AHR
ARNT,BHLHE40
ARNT,BRCA1
ARNT,CA9
ARNT,CCNE1
ARNT,CDK2
ARNT,CTSD
ARNT,CYP1A1
ARNT,CYP1A1
ARNT,CYP1B1
ARNT,CYP1B1
ARNT,EGLN2
ARNT,EPO
ARNT,ESR1
ARNT,FOS
ARNT,GAD1
ARNT,HIF1A
ARNT,JUN
ARNT,MFSD2A
ARNT,RELB
ARNT,UGT1A6
ARNT,VEGFA
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
ATF5,BCL2
ATF5,CCND3
ATF5,CREB1
ATF5,CYP2B6
ATF5,DISC1
ATF5,EGR1
ATF5,ID1
ATF5,SH2D1A
ATF7,ERBB2
ATF7,TAF12
BRPF1,ING5
BRPF1,MEAF6
BTAF1,DR1
BTAF1,TBP
BTAF1,TBP
BTF3,ABL2
BTF3,ATM
BTF3,EPHB2
BTF3,HPSE2
BTF3,MADCAM1
BTF3,MRVI1
BTF3,NFKB1
BTF3,RRAS2
BTF3,SSPN
CBFA2T3,TCF12
CBFA2T3,ZNF652
CBX7,CCNE1
CBX7,CDH1
CBX8,CDKN1A
CEBPD,C3
CEBPD,CASP8
CEBPD,CCL20
CEBPD,CXCL1
CEBPD,CYP19A1
CEBPD,DDIT3
CEBPD,DDIT3
CEBPD,GADD45G
CEBPD,GAPDH
CEBPD,IL23A
CEBPD,PDGFRA
CEBPD,POU5F1
CEBPD,PPARG
CEBPD,PRL
CEBPD,PTGS2
CEBPD,SOD1
CEBPD,TNF
CEBPD,TNFAIP6
CEBPG,HBB
CEBPG,SFTPD
CEBPZ,APC
CEBPZ,COL11A1
CEBPZ,COL1A2
CEBPZ,GZMB
CEBPZ,MLH1
CEBPZ,SOX9
CHD4,CD79A
CHD4,RNF8
CHD8,BRCA1
CHD8,CCNE2
CHD8,HOXA2
CHD8,MYC
CHD8,TYMS
CIITA,COL1A1
CIITA,COL1A2
CIITA,COL1A2
CIITA,CREBBP
CIITA,FASLG
CIITA,HLA-A
CIITA,HLA-B
CIITA,HLA-C
CIITA,HLA-DMA
CIITA,HLA-DMA
CIITA,HLA-DMB
CIITA,HLA-DMB
CIITA,HLA-DOA
CIITA,HLA-DOB
CIITA,HLA-DPB1
CIITA,HLA-DQB1
CIITA,HLA-DRA
CIITA,HLA-DRA
CIITA,HLA-DRB1
CIITA,HLA-DRB5
CIITA,HLA-F
CIITA,HLA-G
CIITA,IL4
CIITA,IL4
CIITA,IRF1
CIITA,IRF2
CIITA,MMP9
CIITA,PLXNA1
CIITA,PSMC5
CIITA,RAB4B
CIITA,S100A4
CIITA,SIRT1
CIITA,SLC26A3
CIITA,STAT1
CNOT8,MSMB
CNOT8,PMP22
CREB3,CXCR4
CREB3L4,DNAJC12
CRTC1,PPARGC1A
CTBP1,BRCA1
CTBP1,BRCA2
CTBP1,CLDN7
CTBP1,KRT18
CTNNBIP1,GLI2
CTNNBIP1,MMP14
CTNNBIP1,STMN2
DACH1,FOS
DACH1,PELP1
DACH1,TNFSF11
DDB1,CDKN2A
DDB2,BCL2
DDB2,SOD2
DDB2,XPA
DDIT3,ANKRD1
DDIT3,ASNS
DDIT3,ATF2
DDIT3,ATF5
DDIT3,ATG5
DDIT3,CDK2
DDIT3,CEBPA
DDIT3,CXCL8
DDIT3,IL6
DDIT3,MAP1LC3B
DDIT3,MCL1
DDIT3,NOS3
DDIT3,RTN3
DDIT3,SIRT1
DDIT3,SIRT2
DDIT3,TF
DDIT3,TNFRSF10B
DDIT3,TNFRSF10B
DDIT3,TNFRSF10B
DDIT3,TRIB3
DDX5,H19
DDX5,IGF2
DEAF1,GDF5
DEAF1,HTR1A
DEDD,CFLAR
