GeneA,GeneB
AATF,BAX
AATF,CDKN1A
AATF,KLK3
AATF,MYC
AATF,TP53
AES,EPHA3
AES,LEF1
AES,RND3
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
AIRE,CHRNA1
APBB1,GMPS
APC,AKT1
APC,AMHR2
APC,BIRC5
APC,DLG1
APC,DNMT1
APC,F8
APC,KLF4
APC,MYC
APC,NOS2
APC,ODC1
APC,PTGS2
APC,PTGS2
APC,SGK1
APEX1,CCL2
APEX1,CD19
APEX1,CYP11B2
APEX1,NFKB1
APEX1,RELA
APEX1,SLC5A5
AR,ACTA1
AR,AKR1C3
AR,AKT1
AR,AKT1
AR,ALDH1A3
AR,ARG1
AR,ARG2
AR,ATAD2
AR,BSG
AR,BTG1
AR,BTG2
AR,CDK20
AR,CDC6
AR,CDC6
AR,CDH1
AR,CDH11
AR,CDH2
AR,CDK20
AR,CDK6
AR,CDKN1A
AR,CDKN1A
AR,CLK3
AR,CRH
AR,CRISP1
AR,CRISP3
AR,CTNNB1
AR,CYP7B1
AR,EGFR
AR,ELK4
AR,EP300
AR,ERBB2
AR,ERBB2
AR,ERBB3
AR,ETV1
AR,FKBP4
AR,FN1
AR,FOLH1
AR,FOXA1
AR,GNMT
AR,GREB1
AR,GTF2F1
AR,HMMR
AR,HMOX1
AR,IFI16
AR,IGF1R
AR,IGFBP3
AR,JUN
AR,KISS1
AR,KISS1R
AR,KLF5
AR,KLK1
AR,KLK2
AR,KLK3
AR,KLK3
AR,KLK3
AR,KLK4
AR,MED1
AR,MID1
AR,MUC1
AR,MYC
AR,NAT1
AR,NDRG1
AR,NFKB1
AR,NKX3-1
AR,NKX3-1
AR,NOV
AR,NRAS
AR,PC
AR,PSCA
AR,PEBP1
AR,PIGR
AR,PIP
AR,PMEPA1
AR,PNRC1
AR,KLK3
AR,PTEN
AR,PTEN
AR,PTGS2
AR,PTPN1
AR,RELA
AR,REST
AR,SEPT7
AR,SERPINB5
AR,SESN1
AR,SRD5A3
AR,STIM1
AR,TBP
AR,TCF7L2
AR,TGFA
AR,TH
AR,TJP1
AR,TMPRSS2
AR,TMPRSS2
AR,TRPS1
AR,TSC1
AR,TSC2
AR,UCN
AR,UGT2B15
AR,USP26
AR,VEGFA
AR,VEGFA
AR,VIM
AR,WEE1
AR,WNT7B
AR,XIAP
ARID1A,CDKN1A
ARID1A,SMAD3
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ASH1L,TGFB1
ASH1L,TIMP1
ASXL1,FABP4
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
ATF3,ADIPOR1
ATF3,ADIPOR2
ATF3,AK4
ATF3,ASNS
ATF3,ASNS
ATF3,CCL5
ATF3,CD82
ATF3,DDIT3
ATF3,GDF15
ATF3,ID1
ATF3,IFNG
ATF3,PCLAF
ATF3,LDLR
ATF3,MMP2
ATF3,PENK
ATF3,SELE
ATF3,TP53
ATF6,ATP2A2
ATF6,BGLAP
ATF6,DDIT3
ATF6,DNAJC3
ATF6,HSPA5
ATF6,MAFA
ATF6,NR0B2
ATF6,NUCB1
ATF6,PDX1
ATF6,RTN3
ATF6,SRF
ATF6,STARD4
ATF6,WBP1
ATF6,XBP1
ATF7,ERBB2
ATF7,TAF12
ATM,APLF
ATM,BAX
ATM,BCL2
ATM,CDKN1A
ATM,CFLAR
ATM,CFLAR
ATM,DUSP1
ATM,FAS
ATM,FOXM1
ATM,GADD45A
ATM,IGF1R
ATM,KLRK1
ATM,MCL1
ATM,MTF1
ATM,PBK
ATM,PCNA
ATM,PMAIP1
ATM,PVR
ATM,PVR
ATM,SLC2A1
ATM,SP1
ATM,SP1
ATM,TERF1
ATM,TNFRSF10B
ATM,VEGFA
BARD1,ESR1
BATF,CD2
BCL6,BCL2L1
BCL6,BCL6
BCL6,CCND2
BCL6,CD80
BCL6,CDKN1A
BCL6,CDKN2B
BCL6,CHEK1
BCL6,FCER2
BCL6,HDAC7
BCL6,IRF4
BCL6,LITAF
BCL6,MYC
BCL6,NFKB1
BCL6,PDCD2
BCL6,PDCD2
BCL6,STAT3
BCL6,SUMO1
BCL6,XBP1
BDP1,MYC
BDP1,RB1
BDP1,TP53
BHLHE41,CCND1
BHLHE41,MLH1
BIN1,MYC
BRCA1,AREG
BRCA1,ASPM
BRCA1,ATM
BRCA1,BACH1
BRCA1,BRCA2
BRCA1,CASR
BRCA1,CCNB1
BRCA1,CCND1
BRCA1,CDH3
BRCA1,CDH3
BRCA1,CDKN1A
BRCA1,CDKN1A
BRCA1,CDKN1B
BRCA1,CDKN1B
BRCA1,CTSD
BRCA1,CXCL1
BRCA1,CYP19A1
BRCA1,CYP19A1
BRCA1,CYP1A1
BRCA1,CYP1B1
BRCA1,DDB2
BRCA1,DDIT3
BRCA1,E2F6
BRCA1,EGFR
BRCA1,EGR1
BRCA1,EP300
BRCA1,EP300
BRCA1,ESR1
BRCA1,FOS
BRCA1,FOXC1
BRCA1,FOXC2
BRCA1,FST
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,GADD45A
BRCA1,HIF1A
BRCA1,HMGA2
BRCA1,HNRNPA2B1
BRCA1,HSPA5
BRCA1,IGF1
BRCA1,IGF1R
BRCA1,IRF7
BRCA1,IRF9
BRCA1,JAK1
BRCA1,JAK2
BRCA1,KHSRP
BRCA1,KRT17
BRCA1,KRT18
BRCA1,KRT5
BRCA1,MAD2L1
BRCA1,MDC1
BRCA1,MDM2
BRCA1,MYC
BRCA1,RNASEL
BRCA1,S100A2
BRCA1,SIRT1
BRCA1,STAT1
BRCA1,STAT2
BRCA1,STAT3
BRCA1,TFF1
BRCA1,TP63
BRCA1,VEGFA
BRCA1,XPC
BRCA2,DMC1
BRCA2,PSMD3
BRCA2,PSMD6
BRCA2,RAD51
BRIP1,BARD1
BRIP1,MLH1
BRPF1,ING5
BRPF1,MEAF6
