GeneA,GeneB
AATF,BAX
AATF,CDKN1A
AATF,KLK3
AATF,MYC
AATF,TP53
AES,EPHA3
AES,LEF1
AES,RND3
AIP,AHR
AIP,GREB1
AIP,NFKB2
AIP,RSF1
AIP,TFF1
APEX1,CCL2
APEX1,CD19
APEX1,CYP11B2
APEX1,NFKB1
APEX1,RELA
APEX1,SLC5A5
ARNT,AHR
ARNT,BHLHE40
ARNT,BRCA1
ARNT,CA9
ARNT,CCNE1
ARNT,CDK2
ARNT,CTSD
ARNT,CYP1A1
ARNT,CYP1A1
ARNT,CYP1B1
ARNT,CYP1B1
ARNT,EGLN2
ARNT,EPO
ARNT,ESR1
ARNT,FOS
ARNT,GAD1
ARNT,HIF1A
ARNT,JUN
ARNT,MFSD2A
ARNT,RELB
ARNT,UGT1A6
ARNT,VEGFA
ARNTL,BHLHE40
ARNTL,CRY1
ARNTL,CRY1
ARNTL,CRY2
ARNTL,CRY2
ARNTL,PER1
ARNTL,PER1
ARNTL,PER2
ARNTL,PER2
ARNTL,PER3
ASH1L,TGFB1
ASH1L,TIMP1
ATF1,BCL2
ATF1,CCNA1
ATF1,CFTR
ATF1,CGA
ATF1,CYP11B1
ATF1,CYP11B2
ATF1,ERBB2
ATF1,FLT1
ATF1,FTH1
ATF1,FTH1
ATF1,GABPA
ATF1,IL10
ATF1,LDHA
ATF1,MAP1LC3B
ATF1,MITF
ATF1,MITF
ATF1,MUC2
ATF1,NTS
ATF1,PCSK1
ATF1,PLAUR
ATF1,SLC20A1
ATF1,SLC22A8
ATF1,TGFB2
ATF1,TH
ATF1,TOP2A
ATF1,USP7
ATF2,APOC3
ATF2,ATF3
ATF2,CCND1
ATF2,CDKN1A
ATF2,CYP11B1
ATF2,CYP11B2
ATF2,DUSP1
ATF2,DUSP10
ATF2,FAS
ATF2,FASLG
ATF2,FN1
ATF2,KAT5
ATF2,IFNB1
ATF2,IFNB1
ATF2,IFNG
ATF2,IMPDH2
ATF2,INS
ATF2,INS
ATF2,ITGB8
ATF2,JUN
ATF2,MAP3K1
ATF2,MMP2
ATF2,NOS3
ATF2,PCK1
ATF2,PCK2
ATF2,PLAT
ATF2,PLAU
ATF2,POLB
ATF2,PTGS2
ATF2,RELA
ATF2,RETN
ATF2,ST3GAL5
ATF2,TGFB2
ATF2,TNF
ATF4,APOE
ATF4,ASNS
ATF4,ASNS
ATF4,ATF3
ATF4,ATF3
ATF4,ATG5
ATF4,BGLAP
ATF4,CA9
ATF4,CCL2
ATF4,CEBPB
ATF4,CHAC1
ATF4,CXCL8
ATF4,DDIT3
ATF4,DDIT3
ATF4,DDIT4
ATF4,DDR2
ATF4,DISC1
ATF4,F7
ATF4,FGF19
ATF4,FGF21
ATF4,HRK
ATF4,HSPA5
ATF4,IGFBP1
ATF4,IL6
ATF4,IRF7
ATF4,MAP1LC3B
ATF4,MCL1
ATF4,NDC80
ATF4,NUPR1
ATF4,PLAU
ATF4,PTGS2
ATF4,S100P
ATF4,SIGMAR1
ATF4,SIRT1
ATF4,SIRT1
ATF4,SIRT2
ATF4,TNFRSF10B
ATF4,TRIB3
ATF4,TRIB3
ATF4,VEGFA
ATF4,VEGFA
ATF7,ERBB2
ATF7,TAF12
ATRX,HBA1
ATRX,HBA2
BCL3,CTCF
BCL3,EGFR
BCL3,MYB
BCL3,NFKB1
BCL3,NFKB1
BCL3,RELA
BMI1,TERT
BRD7,BRD2
BRD7,BRD3
BRD7,E2F3
BRD7,E2F3
BTF3,ABL2
BTF3,ATM
BTF3,EPHB2
BTF3,HPSE2
BTF3,MADCAM1
BTF3,MRVI1
BTF3,NFKB1
BTF3,RRAS2
BTF3,SSPN
CBFB,GATA1
CBFB,RUNX1
CBFB,RUNX2
CBFB,RUNX3
CDC5L,PLRG1
CEBPB,ABCB1
CEBPB,ADM
CEBPB,ADM
CEBPB,ALB
CEBPB,ASNS
CEBPB,BCL2L1
CEBPB,CDKN1A
CEBPB,CR2
CEBPB,CRP
CEBPB,CSF3R
CEBPB,CSH2
CEBPB,CSRP1
CEBPB,CXCL8
CEBPB,CXCL8
CEBPB,CYP19A1
CEBPB,CYP19A1
CEBPB,DAPK1
CEBPB,DDIT3
CEBPB,F8
CEBPB,FASLG
CEBPB,FURIN
CEBPB,GADD45G
CEBPB,GDF15
CEBPB,GFER
CEBPB,GFER
CEBPB,GNLY
CEBPB,HBB
CEBPB,HP
CEBPB,HSF1
CEBPB,IL10
CEBPB,IL13
CEBPB,IL1B
CEBPB,IL1B
CEBPB,IL24
CEBPB,IL3
CEBPB,IL4
CEBPB,IL4
CEBPB,IL5
CEBPB,IL6
CEBPB,IL6
CEBPB,INSR
CEBPB,IRF4
CEBPB,MAD1L1
CEBPB,MMP1
CEBPB,OXTR
CEBPB,PCK2
CEBPB,PLAC1
CEBPB,PRDM1
CEBPB,PRL
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTGS2
CEBPB,PTPN13
CEBPB,S100A9
CEBPB,SAA1
CEBPB,SAA2
CEBPB,SFTPD
CEBPB,SLC10A1
CEBPB,SLC19A1
CEBPB,SLC5A8
CEBPB,STAR
CEBPB,STAR
CEBPB,TFF3
CEBPB,TNF
CEBPB,TNFAIP6
CEBPB,TNFAIP6
CEBPB,TOP1
CEBPB,XBP1
CEBPG,HBB
CEBPG,SFTPD
CHD4,CD79A
CHD4,RNF8
CHD8,BRCA1
CHD8,CCNE2
CHD8,HOXA2
CHD8,MYC
CHD8,TYMS
CITED2,MMP1
CITED2,MMP13
CNBP,MYC
CNOT7,MSMB
CNOT7,PMP22
CNOT8,MSMB
CNOT8,PMP22
COPS5,CDKN1B
COPS5,VEGFA
CREB1,ACACA
CREB1,ADRA1A
CREB1,AQP3
CREB1,AR
CREB1,BCL2
CREB1,BCL2
CREB1,BCL2L11
CREB1,BDKRB1
CREB1,BDKRB2
CREB1,BDNF
CREB1,CASP8
CREB1,CCK
CREB1,CCL5
CREB1,CD4
CREB1,CGA
CREB1,CRTC1
CREB1,CXCR4
CREB1,CYP11A1
CREB1,CYP11B1
CREB1,CYP11B2
CREB1,CYP17A1
CREB1,CYP19A1
CREB1,ERBB2
CREB1,ETV3
CREB1,FLT1
CREB1,FOS
CREB1,FOXA1
CREB1,GABPA
CREB1,GRPR
CREB1,GSK3A
CREB1,GSK3B
CREB1,HLA-DOB
CREB1,HLA-DQB1
CREB1,HMOX1
CREB1,HPGD
CREB1,IFNG
CREB1,IFNG
CREB1,IFNG
CREB1,IL10
CREB1,IL10
CREB1,IL2
CREB1,IL5RA
CREB1,IL6
CREB1,JUN
CREB1,JUN
CREB1,LAPTM4B
CREB1,LYL1
CREB1,MC2R
CREB1,MITF
