Gene Symbols,20-29,30-39,40-49,50-59,60-69,70-79
DDX11L1,NA,0.20390625,0.3515625,0.224404761904762,0.215264423076923,0.33359375
WASH7P,NA,0.376155561084361,0.357915379999707,0.28519178628719,0.387603983558849,0.410450418807046
MIR1302-2HG,NA,0.159827213822894,0.162257019438445,0.333270729645976,0.156338262169796,0.177915766738661
FAM138A,NA,0,0,0.201834862385321,0.143985728848114,0
OR4G4P,NA,0.121907422186752,0.407422186751796,0.327290692813438,0.308858739026337,0.234437350359138
OR4G11P,NA,0.0643564356435644,0.267090994813767,0.353651691699782,0.304192507162804,0.17032060348892
OR4F5,NA,0.348567631423509,0.171367395156527,0.282974010632014,0.186300890376496,0.155345540460721
RP11-34P13.7,NA,0.145083932853717,0.215107913669065,0.217026378896882,0.282685851318945,0.348021582733813
CICP27,NA,0.104743083003953,0.110276679841897,0.256546442687747,0.25798418972332,0.281867588932806
RP11-34P13.15,NA,0.0976330302933978,0.379859499666232,0.335090249743052,0.350053402841794,0.272386280555644
RP11-34P13.16,NA,0.144534502672648,0.363224905315748,0.318143002318981,0.409061484326735,0.316437902352109
RP11-34P13.14,NA,0,0.14052964108079,0.0645614635398208,0.312434466998252,0.259040193574405
RP11-34P13.13,NA,0.148328061455038,0.411929507455942,0.30756989331814,0.368636089772556,0.380930863081789
ABC7-43046700E7.1,NA,0.307708553326294,0.161731784582893,0.365805894211385,0.138846884899683,0.229514255543823
RP11-34P13.18,NA,0.674804212800432,0.327572238725358,0.434701593302728,0.422273001100978,0.708425600864164
AP006222.2,NA,0.325939319103898,0.388463573822544,0.517306173161435,0.478119869194133,0.476627271123655
RPL23AP24,NA,0.288153520701118,0.383499546690843,0.192030393299659,0.227596066671316,0.347914777878513
RP4-669L17.2,NA,0.161736641221374,0.147423664122137,0.159784871616933,0.265190839694657,0.067986641221374
RP4-669L17.10,NA,0.370402298850575,0.243218390804598,0.3141065830721,0.286091954022988,0.39360632183908
WBP1LP7,NA,0.241919443063153,0.400484833416211,0.197725012431626,0.305127355102492,0.0858403779214321
OR4F29,NA,0.1875,0.189848265895954,0.367189650426645,0.298521565140062,0.341763005780347
CICP7,NA,0.175925925925926,0.0572390572390572,0.195446528779862,0.274151774151774,0.0984848484848485
RP4-669L17.8,NA,0.0530821917808219,0.212557077625571,0.139269406392694,0.222646645591851,0.402397260273973
RP5-857K21.4,NA,0.0861084681255947,0.164605137963844,0.353700409547843,0.370745809851424,0.341262289882652
RP5-857K21.2,NA,0,0,0,0.037037037037037,0
MTND1P23,NA,0.003673548397625,0.207520441349133,0.00841729402426936,0.00618784981569656,0.00372489620006567
MTND2P28,NA,0.617853783444816,0.513691471571906,0.612588837792642,0.575169546636938,0.489583333333333
MTCO1P12,NA,0.143942945736434,0.242586046511628,0.194255673009161,0.169756279069767,0.0997891472868217
MTCO2P12,NA,0.116740339913116,0.344816197952392,0.421435648415299,0.340938896369123,0.254066001066992
MTATP8P1,NA,0.172698640733783,0.31482563187724,0.373366124667013,0.307177406525401,0.209589062722006
MTATP6P1,NA,0.496255739550879,0.655722051668321,0.672115673586463,0.639429677900399,0.603057987058192
MTCO3P12,NA,0.127538465232775,0.0509551446889946,0.233697337398936,0.220730375424977,0.0706719370064929
WBP1LP6,NA,0.269798868636078,0,0.35063710645106,0.30150365034086,0.365650534255185
OR4F16,NA,0.0685966913861951,0.181545921277809,0.28531089560753,0.208637045488158,0.106531660011409
CICP3,NA,0.225576519916143,0.0933962264150943,0.49514008004574,0.439552760307477,0.408700209643606
RP11-206L10.2,NA,0.297274029117938,0.28466023389819,0.348398305876214,0.332676872719834,0.498056531078455
RNU6-1199P,NA,0,0.362467532467532,0.0402449822904368,0.0568181818181818,0
RP11-206L10.4,NA,0.25,0.306416131989001,0.262646763563354,0.351265599661567,0.203024747937672
RP11-206L10.9,NA,0.364793213149523,0.299840933191941,0.415206545840162,0.326933273513337,0.23263520678685
RP11-206L10.8,NA,0.331092474263401,0.185463258785942,0.402651409918044,0.347615609895961,0.551035010649627
FAM87B,NA,0.373417053609118,0.227057830308147,0.31359315065979,0.27697164767131,0.291051076403546
LINC01128,NA,0.492504955401388,0.261149653121903,0.356110225363037,0.369454905847374,0.353010406342914
LINC00115,NA,0.227369074083648,0.311792379672233,0.319328341826088,0.254321115304417,0.39418221923521
FAM41C,NA,0.149004085801839,0.31026557711951,0.371622249048194,0.328207165285817,0.753958120531154
TUBB8P11,NA,0.153340488328414,0.263751006171183,0.314321489261119,0.223658954407546,0.209551918433056
FAM166AP3,NA,0.223286052009456,0.519148936170213,0.200838168923275,0.229059829059829,0.286643026004728
RP11-54O7.16,NA,0.427388474057055,0.172668964196822,0.369036792392622,0.311810925050443,0.495609164592508
RP11-54O7.1,NA,0.350980227882038,0.333029490616622,0.329936472782376,0.249878016085791,0.441800714924039
RP11-54O7.3,NA,0.353827096101187,0.146053375059764,0.324018587915587,0.242854181503288,0.287488590429
SAMD11,NA,0.48203118118559,0.328573945212719,0.37860898670721,0.331142564825292,0.369153527701929
NOC2L,NA,0.636576239476146,0.26578110383536,0.273450123309805,0.410345424938503,0.48110383536015
KLHL17,NA,0.485384663225325,0.162112071646247,0.314492647100396,0.355686107536347,0.496237328192052
PLEKHN1,NA,0.237695062996268,0.177684542744784,0.206307467962785,0.271375522881547,0.323673070661022
PERM1,NA,0.222281851391557,0.294912062667119,0.218892813225067,0.273537830000377,0.399069784958385
RP11-54O7.17,NA,0.174005963358094,0.135092466520742,0.258152015567434,0.241726138944387,0.394701918270971
HES4,NA,0.4375,0.345585585585586,0.366217848283066,0.423855105105105,0.393143143143143
ISG15,NA,0.417578722103332,0.152023845918679,0.299850863317959,0.264612562613174,0.405074900642005
RP11-54O7.10,NA,0.0996888707538509,0.163256146077731,0.143780297956704,0.135999183923289,0.132433948791186
RP11-54O7.11,NA,0.291280752532562,0.347178002894356,0.310459150111827,0.378281197818101,0.442800289435601
AGRN,NA,0.533288242176075,0.209315589353612,0.258202823792177,0.341176007379576,0.509523983620942
RP11-465B22.3,NA,0.133446034985203,0.148186356824976,0.203653969369204,0.238078599989458,0.286867119983333
RP11-54O7.18,NA,0.0828857485529541,0.131762006570371,0.244605082477273,0.286688537673073,0.383949522865933
RNF223,NA,0.101780244442423,0.0860582901161556,0.200029272962463,0.199491503149041,0.308322971319969
C1orf159,NA,0.422842129665405,0.255034386832548,0.270995637543818,0.304999613631095,0.452573216907503
LINC01342,NA,0.183161973570458,0.198233913795233,0.218539200291701,0.21832960538654,0.151800049401013
MIR200B,NA,0.534477351916376,0.248961672473868,0.228141695702671,0.209155052264808,0.224407665505226
MIR200A,NA,0.53275294617263,0.124577980677354,0.355331730036882,0.268381422166325,0.0849347064444209
MIR429,NA,0.128518898580469,0.22376603386352,0.189970330381243,0.197856450601448,0.0220561826577732
RP11-465B22.8,NA,0.320572837564994,0.163113977879822,0.211225121297128,0.229615467845139,0.130023049296907
TTLL10-AS1,NA,0.369560185185185,0.215092592592593,0.259160052910053,0.237182784636488,0.223784722222222
TTLL10,NA,0.331241128459901,0.245067423704755,0.344134433404306,0.262480482611781,0.408113023420866
TNFRSF18,NA,0.38622844321532,0.167632862845365,0.189519344530818,0.233693547966292,0.155252332872412
TNFRSF4,NA,0.37352167059036,0.196962436717432,0.263280106214334,0.179109901328073,0.347955165732619
SDF4,NA,0.51645637225449,0.247372988851058,0.293350084057074,0.377309566726751,0.479938580679618
B3GALT6,NA,0.365344408656834,0.236978018873255,0.359340566197661,0.338155967330404,0.312807255467028
C1QTNF12,NA,0.412966700302725,0.274428187016482,0.258957428450255,0.356903489429557,0.481528198228501
RP5-902P8.12,NA,0.426141001855288,0.215703153988868,0.384192949907236,0.353460482374768,0.60573902288188
UBE2J2,NA,0.602716805626453,0.306533945890761,0.341089558164596,0.446543566183689,0.451356984856219
LINC01786,NA,0.615721888481232,0.336185138894489,0.375764502540892,0.34614522436802,0.509787122525501
SCNN1D,NA,0.567523086769681,0.418341409893024,0.387182869856364,0.385267136021456,0.433482673493645
ACAP3,NA,0.552812403647095,0.334713473990222,0.37725891251857,0.418040689678799,0.440969622223201
MIR6726,NA,0,0,0.0431902638424378,0,0.25
